country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
JP,Japan,,,2020-02-15,-1,4,7,1,4,0
JP,Japan,,,2020-02-16,-9,-6,-35,-10,-2,2
JP,Japan,,,2020-02-17,-2,1,-5,-1,0,1
JP,Japan,,,2020-02-18,1,2,1,-2,0,1
JP,Japan,,,2020-02-19,0,2,8,-3,0,0
JP,Japan,,,2020-02-20,1,4,4,-3,0,0
JP,Japan,,,2020-02-21,-1,2,7,-2,0,1
JP,Japan,,,2020-02-22,-5,1,-10,-3,-1,2
JP,Japan,,,2020-02-23,1,3,16,2,0,0
JP,Japan,,,2020-02-24,18,4,54,-27,-55,14
JP,Japan,,,2020-02-25,0,7,0,-2,1,1
JP,Japan,,,2020-02-26,-4,3,-5,-5,1,1
JP,Japan,,,2020-02-27,-3,6,-4,-7,0,1
JP,Japan,,,2020-02-28,-2,14,-4,-10,1,2
JP,Japan,,,2020-02-29,-10,9,-22,-21,3,4
JP,Japan,,,2020-03-01,-10,9,-1,-23,1,4
JP,Japan,,,2020-03-02,-10,3,-15,-15,-2,4
JP,Japan,,,2020-03-03,-2,9,11,-15,-2,4
JP,Japan,,,2020-03-04,-12,-2,-21,-19,-4,5
JP,Japan,,,2020-03-05,-9,3,-8,-18,-4,4
JP,Japan,,,2020-03-06,-9,2,5,-18,-4,5
JP,Japan,,,2020-03-07,-12,2,-8,-24,-4,5
JP,Japan,,,2020-03-08,-17,-4,-35,-31,-5,6
JP,Japan,,,2020-03-09,-7,2,11,-15,-3,4
JP,Japan,,,2020-03-10,-9,-3,-28,-18,-5,6
JP,Japan,,,2020-03-11,-3,4,13,-16,-4,3
JP,Japan,,,2020-03-12,-3,5,16,-15,-4,3
JP,Japan,,,2020-03-13,-5,3,10,-17,-4,5
JP,Japan,,,2020-03-14,-14,-4,-39,-27,-7,7
JP,Japan,,,2020-03-15,-7,5,9,-21,-3,3
JP,Japan,,,2020-03-16,-7,0,-7,-15,-3,4
JP,Japan,,,2020-03-17,-1,4,14,-15,-4,4
JP,Japan,,,2020-03-18,-3,3,20,-14,-4,3
JP,Japan,,,2020-03-19,4,6,17,-10,-4,2
JP,Japan,,,2020-03-20,7,6,40,-34,-54,17
JP,Japan,,,2020-03-21,-6,5,34,-15,-7,3
JP,Japan,,,2020-03-22,-9,1,18,-18,-3,3
JP,Japan,,,2020-03-23,-4,0,11,-13,-3,3
JP,Japan,,,2020-03-24,0,3,14,-13,-4,4
JP,Japan,,,2020-03-25,2,8,31,-11,-4,2
